0,-258,-258
1,-210,-210
2,123,-54
3,-15,-9
4,-29,-6
5,-20,5
6,-15,7
7,123,136
8,146,292
9,56,366
10,253,45
11,36,107
12,35,173
13,4,209
14,0,239
15,-1,264
16,-28,259
17,-30,249
18,207,474
19,20,512
20,77,608
21,-9,619
22,-33,604
23,39,657
24,-14,660
25,810,-90
26,45,-34
27,19,-1
28,-26,-10
29,49,50
30,108,173
31,45,235
32,-26,228
33,-52,191
34,-32,168
35,-23,152
36,15,173
37,8,188
38,15,210
39,-26,191
40,73,271
41,48,326
42,52,385
43,-53,340
44,8,355
45,86,448
46,6,462
47,1,472
48,-13,466
49,51,524
50,17,548
51,8,563
52,22,593
53,23,625
54,0,634
55,62,704
56,53,766
57,-2,773
58,29,810
59,61,880
60,-2,887
61,-13,882
62,26,915
63,-378,-378
64,-279,-279
65,173,-37
66,-20,12
67,97,155
68,-48,165
69,34,235
70,-14,261
71,-21,270
72,23,312
73,79,414
74,-35,406
75,19,444
76,26,492
77,-44,473
78,-8,484
79,59,556
80,-2,571
81,-12,571
82,16,596
83,137,743
84,26,781
85,-1,795
86,-4,801
87,28,839
88,22,871
89,95,976
