0,578,578
1,709,709
2,-6,794
3,-15,849
4,38,940
5,-31,968
6,162,1176
7,-86,1144
8,-100,1084
9,17,1129
10,629,1787
11,-27,1789
12,107,1917
13,31,1973
14,-38,1364
15,-75,1318
16,215,1554
17,-77,1503
18,131,1651
19,-46,1627
20,-89,1550
21,1235,335
22,-34,301
23,-39,250
24,12,243
25,-31,195
26,72,246
27,-31,196
28,94,267
29,-10,236
30,45,259
31,37,274
32,29,283
33,2,267
34,-37,214
35,16,210
36,7,199
37,-41,142
38,-8,114
39,583,677
40,59,716
41,73,770
42,38,790
43,35,808
44,24,816
45,1081,983
46,197,1166
47,132,1286
48,47,1323
49,127,1441
50,-56,-56
51,-31,-31
52,-44,-58
53,17,-48
54,2,-47
55,8,-38
56,98,62
57,-53,13
58,0,14
59,-71,-57
60,-5,-66
61,9,-63
62,9,-57
63,-31,-89
64,-4,-98
65,8,-97
66,119,15
67,56,66
68,17,80
69,5,85
70,19,104
71,28,132
